age	same_sex	age_6	age_4	age_25	age_2545	age_4565	age_65	party	republican	independent	democrat	born_christian
56	0	5	3	0	0	1	0	1	1	0	0	0
35	1	2	2	0	1	0	0	0	0	1	0	1
56	1	5	3	0	0	1	0	-1	0	0	1	0
72	0	6	4	0	0	0	1	1	1	0	0	0
53	1	4	3	0	0	1	0	1	1	0	0	0
75	0	6	4	0	0	0	1	1	1	0	0	1
65	0	5	3	0	0	1	0	-1	0	0	1	0
47	0	4	3	0	0	1	0	1	1	0	0	0
29	0	2	2	0	1	0	0	-1	0	0	1	1
64	0	5	3	0	0	1	0	1	1	0	0	1
64	1	5	3	0	0	1	0	-1	0	0	1	0
88	0	6	4	0	0	0	1	1	1	0	0	1
43	0	3	2	0	1	0	0	1	1	0	0	0
61	1	5	3	0	0	1	0	-1	0	0	1	1
21	1	1	1	1	0	0	0	0	0	1	0	0
65	1	5	3	0	0	1	0	-1	0	0	1	0
32	1	2	2	0	1	0	0	-1	0	0	1	0
55	1	4	3	0	0	1	0	-1	0	0	1	0
66	0	6	4	0	0	0	1	-1	0	0	1	1
78	0	6	4	0	0	0	1	1	1	0	0	1
45	1	3	2	0	1	0	0	-1	0	0	1	0
68	1	6	4	0	0	0	1	-1	0	0	1	0
51	0	4	3	0	0	1	0	1	1	0	0	1
53	1	4	3	0	0	1	0	-1	0	0	1	1
50	0	4	3	0	0	1	0	-1	0	0	1	1
23	1	1	1	1	0	0	0	-1	0	0	1	1
73	1	6	4	0	0	0	1	1	1	0	0	0
36	0	3	2	0	1	0	0	0	0	1	0	1
44	1	3	2	0	1	0	0	1	1	0	0	0
83	1	6	4	0	0	0	1	0	0	1	0	0
64	1	5	3	0	0	1	0	1	1	0	0	0
45	0	3	2	0	1	0	0	1	1	0	0	0
30	1	2	2	0	1	0	0	1	1	0	0	0
75	0	6	4	0	0	0	1	1	1	0	0	1
65	1	5	3	0	0	1	0	1	1	0	0	0
25	1	1	1	1	0	0	0	1	1	0	0	0
45	1	3	2	0	1	0	0	1	1	0	0	0
50	0	4	3	0	0	1	0	1	1	0	0	1
55	1	4	3	0	0	1	0	1	1	0	0	0
77	0	6	4	0	0	0	1	1	1	0	0	1
71	0	6	4	0	0	0	1	1	1	0	0	1
72	0	6	4	0	0	0	1	1	1	0	0	0
62	0	5	3	0	0	1	0	1	1	0	0	0
26	1	2	2	0	1	0	0	1	1	0	0	0
86	1	6	4	0	0	0	1	1	1	0	0	0
63	0	5	3	0	0	1	0	1	1	0	0	1
46	0	4	3	0	0	1	0	1	1	0	0	0
50	0	4	3	0	0	1	0	1	1	0	0	0
64	0	5	3	0	0	1	0	1	1	0	0	0
57	0	5	3	0	0	1	0	1	1	0	0	1
83	0	6	4	0	0	0	1	1	1	0	0	0
68	0	6	4	0	0	0	1	1	1	0	0	1
64	1	5	3	0	0	1	0	1	1	0	0	0
84	0	6	4	0	0	0	1	1	1	0	0	0
48	1	4	3	0	0	1	0	1	1	0	0	0
29	1	2	2	0	1	0	0	1	1	0	0	0
48	1	4	3	0	0	1	0	1	1	0	0	0
86	1	6	4	0	0	0	1	1	1	0	0	0
79	0	6	4	0	0	0	1	1	1	0	0	0
50	1	4	3	0	0	1	0	1	1	0	0	0
71	0	6	4	0	0	0	1	1	1	0	0	1
36	0	3	2	0	1	0	0	1	1	0	0	1
63	0	5	3	0	0	1	0	1	1	0	0	0
26	0	2	2	0	1	0	0	1	1	0	0	1
